country,code,region,region.code,EU,OECD,income.level,income.level.code,life.expectancy,fertility.rate,mortality.rate,pop.growth,pop.rural,pop.0.14,pop.15.24,pop.25.64,pop65.older,GDP.percapita,log.GDP.percapita,GDP.growth
Rwanda,RWA,Sub-Saharan Africa,SSA,no,no,Low,L,67.13,3.9,29.2,2.45,70.23,0.4,0.19,0.38,0.03,711.2,6.567,5.981
Saint Lucia,LCA,Latin America & Caribbean,LAC,no,no,Upper middle,UM,75.5,1.5,11.8,0.46,81.46,0.19,0.18,0.53,0.1,9364.8,9.145,1.654
Saint Vincent and the Grenadines,VCT,Latin America & Caribbean,LAC,no,no,Upper middle,UM,73.18,1.9,15.2,0.17,49.1,0.24,0.17,0.51,0.08,6982.3,8.851,1.27
Samoa,WSM,East Asia & Pacific,EAP,no,no,Upper middle,UM,75.01,4,14.8,0.7,81.05,0.37,0.2,0.38,0.05,4030,8.302,7.145
Sao Tome and Principe,STP,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,66.62,4.5,26.2,2.2,34.35,0.43,0.2,0.34,0.03,1772,7.48,4.179
Saudi Arabia,SAU,Middle East & North Africa,ENA,no,no,High,H,74.56,2.5,11.1,2.25,16.67,0.26,0.15,0.56,0.03,19982.1,9.903,1.671
Senegal,SEN,Sub-Saharan Africa,SSA,no,no,Low,L,67.15,4.8,33.6,2.86,55.94,0.43,0.2,0.34,0.03,952.8,6.859,6.742
Serbia,SRB,Europe & Central Asia,ECA,no,no,Upper middle,UM,75.24,1.5,5.1,-0.52,44.33,0.17,0.12,0.54,0.17,5426.2,8.599,2.797
Seychelles,SYC,Sub-Saharan Africa,SSA,no,no,High,H,74.31,2.8,12.3,1.34,45.79,0.22,0.13,0.57,0.08,15061,9.62,4.503
Sierra Leone,SLE,Sub-Saharan Africa,SSA,no,no,Low,L,51.84,4.5,83.3,2.18,59.68,0.42,0.2,0.35,0.03,480.8,6.175,6.055
Slovakia,SVK,Europe & Central Asia,ECA,yes,yes,High,H,76.56,1.4,4.9,0.13,46.53,0.15,0.12,0.59,0.15,16529.5,9.713,3.325
Slovenia,SVN,Europe & Central Asia,ECA,yes,yes,High,H,80.78,1.6,1.8,0.07,50.37,0.15,0.1,0.57,0.19,21650.2,9.983,3.148
Solomon Islands,SLB,East Asia & Pacific,EAP,no,no,Lower middle,LM,70.73,3.9,21.8,2.01,77.22,0.39,0.2,0.38,0.03,2056.5,7.629,3.457
South Africa,ZAF,Sub-Saharan Africa,SSA,no,no,Upper middle,UM,62.77,2.5,34.2,1.3,34.71,0.29,0.18,0.47,0.05,5280,8.572,0.565
South Sudan,SSD,Sub-Saharan Africa,SSA,no,no,Low,L,56.81,4.9,59.2,2.89,80.97,0.42,0.2,0.34,0.03,237.4,5.47,-13.834
Spain,ESP,Europe & Central Asia,ECA,yes,yes,High,H,82.83,1.3,2.7,0.08,20.2,0.15,0.09,0.57,0.19,26616.8,10.189,3.274
Sri Lanka,LKA,South Asia,SAS,no,no,Lower middle,LM,75.28,2,8,1.12,81.59,0.24,0.15,0.51,0.1,3857.4,8.258,4.469
Sudan,SDN,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,64.49,4.5,44.8,2.38,65.99,0.41,0.2,0.35,0.04,2415,7.789,4.7
Suriname,SUR,Latin America & Caribbean,LAC,no,no,Upper middle,UM,71.41,2.4,17.8,0.93,33.99,0.27,0.17,0.49,0.07,5871.4,8.678,-5.142
Sweden,SWE,Europe & Central Asia,ECA,yes,yes,High,H,82.2,1.9,2.4,1.26,14.04,0.17,0.12,0.51,0.2,51844.8,10.856,3.235
Switzerland,CHE,Europe & Central Asia,ECA,no,yes,High,H,82.9,1.5,3.6,1.09,26.01,0.15,0.11,0.56,0.18,79866,11.288,1.376
Tajikistan,TJK,Europe & Central Asia,ECA,no,no,Lower middle,LM,71.05,3.4,37.1,2.16,73.11,0.35,0.19,0.42,0.03,795.8,6.679,6.9
Thailand,THA,East Asia & Pacific,EAP,no,no,Upper middle,UM,75.3,1.5,10.5,0.3,48.46,0.18,0.14,0.57,0.11,5979.3,8.696,3.283
FYR Macedonia,MKD,Europe & Central Asia,ECA,no,no,Upper middle,UM,75.7,1.5,10.7,0.09,42.8,0.17,0.13,0.57,0.13,5163.3,8.549,2.924
Timor-Leste,TLS,East Asia & Pacific,EAP,no,no,Lower middle,LM,68.88,5.5,42.4,2.21,66.6,0.44,0.21,0.31,0.04,1987.1,7.594,0.825
Togo,TGO,Sub-Saharan Africa,SSA,no,no,Low,L,60.23,4.5,50.7,2.52,59.54,0.42,0.19,0.36,0.03,577,6.358,5.398
